Stride Duration,Stride Width,Turn Radius,Walk Sequence Length,Forward Stride Length,Lateral Stride Length,In Place Turn Size,Turn Right,Turn Left Point,Forward,Wonky Step,Side Left,Turn Left,Side Right,Turn Right Point,Backward,Fall
0.63, 0.2, 2, 4, 0.4, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.7, 0.2, 2, 1, 0.525, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
0.63, 0.2, 2, 4, 0.4, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.7, 0.2, 2, 1, 0.525, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.63, 0.2, 2, 2, 0.1, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.7, 0.2, 2, 5, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
0.63, 0.2, 2, 4, 0.4, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.63, 0.2, 2, 2, 0.1, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
0.7, 0.2, 2, 9, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.7, 0.2, 2, 9, 0.1, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7, 0.2, 2, 9, 0.1, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.7, 0.2, 2, 9, 0.1, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.63, 0.2, 2, 2, 0.4, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.63, 0.2, 2, 4, 0.4, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.7, 0.2, 2, 1, 0.525, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.63, 0.2, 2, 2, 0.1, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.7, 0.2, 2, 5, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
0.6, 0.2, 2, 5, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
0.6, 0.2, 2, 5, 0.1, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.6, 0.2, 2, 5, 0.1, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
0.62, 0.2, 2, 5, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.62, 0.2, 2, 5, 0.1, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
0.62, 0.2, 2, 5, 0.1, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.62, 0.2, 2, 5, 0.1, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
0.62, 0.2, 2, 5, 0.1, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.62, 0.2, 2, 5, 0.1, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.62, 0.2, 2, 5, 0.1, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.62, 0.2, 2, 5, 0.1, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
0.63, 0.2, 2, 2, 0.4, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.63, 0.2, 2, 2, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
0.64, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
0.64, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.64, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
0.64, 0.2, 2, 5, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.64, 0.2, 2, 5, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.64, 0.2, 2, 5, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
0.64, 0.2, 2, 5, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.64, 0.2, 2, 5, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.64, 0.2, 2, 5, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
0.64, 0.2, 2, 5, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.64, 0.2, 2, 5, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
0.64, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.64, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
0.63, 0.2, 2, 4, 0.4, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.68, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
0.63, 0.2, 2, 4, 0.4, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.68, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.68, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.68, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
0.63, 0.2, 2, 3, 0.4, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.76, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.76, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
0.63, 0.2, 2, 3, 0.4, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.72, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
0.72, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.72, 0.2, 2, 5, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.63, 0.2, 2, 3, 0.4, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.72, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.72, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.72, 0.2, 2, 5, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.63, 0.2, 2, 3, 0.4, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.72, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.72, 0.2, 2, 5, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.63, 0.2, 2, 3, 0.4, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.72, 0.2, 2, 5, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.72, 0.2, 2, 5, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.72, 0.2, 2, 5, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.72, 0.2, 2, 5, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.72, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.72, 0.2, 2, 5, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.72, 0.2, 2, 1, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.72, 0.2, 2, 1, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
0.63, 0.2, 2, 3, 0.4, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.72, 0.2, 2, 3, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.72, 0.2, 2, 3, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.72, 0.2, 2, 3, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.72, 0.2, 2, 3, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.72, 0.2, 2, 3, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.72, 0.2, 2, 2, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
0.63, 0.2, 2, 2, 0.4, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.72, 0.2, 2, 2, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.72, 0.2, 2, 2, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
0.63, 0.2, 2, 2, 0.4, 0.1, 0.1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0.72, 0.2, 2, 2, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.72, 0.2, 2, 2, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.72, 0.2, 2, 2, 0.4, 0.1, 0.1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0.72, 0.2, 2, 2, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.72, 0.2, 2, 2, 0.4, 0.1, 0.1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
